match_date,iso_a,iso_b,host_iso,goals_a,goals_b,elo_a_pre,elo_b_pre,p_home_pred,p_draw_pred,p_away_pred,brier_score,source,home_corners,away_corners,home_yellow,away_yellow,home_shots,away_shots,home_fouls,away_fouls
2026-06-01,NOR,SWE,,3,1,1896.1,1699.6,0.6284,0.232,0.1396,0.2114,friendly,,,,,,,,
2026-06-02,CAN,UZB,,2,0,1879.4,1829.4,0.4546,0.316,0.2294,0.4499,friendly,,,,,,,,
2026-05-31,BRA,PAN,,6,2,2019.6,1844.0,0.575,0.2731,0.1519,0.2783,friendly,1.0,1.0,0.0,1.0,14.0,9.0,12.0,4.0
2026-06-11,MEX,ZAF,MEX,2,0,1947.4,1648.5,0.7244,0.2017,0.0739,0.1221,wc2026,,,,,,,,
2026-06-11,KOR,CZE,MEX,2,1,1871.7,1715.7,0.5218,0.2897,0.1884,0.3481,wc2026,,,,,,,,
2026-06-12,CAN,BIH,CAN,1,1,1892.3,1569.8,0.9039,0.0757,0.0204,1.6718,wc2026,,,,,,,,
2026-06-12,USA,PRY,USA,4,1,1808.6,1871.0,0.3412,0.3212,0.3376,0.6512,wc2026,,,,,,,,
2026-06-13,QAT,CHE,USA,1,1,1574.2,1889.7,0.0535,0.1486,0.7979,1.3644,wc2026,,,,,,,,
2026-06-13,AUS,TUR,CAN,2,0,1888.6,1890.8,0.3657,0.3017,0.3326,0.604,wc2026,,,,,,,,
2026-06-13,BRA,MAR,USA,1,1,2029.6,1969.2,0.3957,0.3486,0.2557,0.6463,wc2026,,,,,,,,
2026-06-13,HTI,SCO,USA,0,1,1703.8,1761.6,0.2882,0.298,0.4139,0.5154,wc2026,,,,,,,,
2026-06-14,SWE,TUN,MEX,5,1,1692.3,1737.4,0.2924,0.3334,0.3741,0.7518,wc2026,,,,,,,,
2026-06-14,NLD,JPN,USA,2,2,1952.1,1976.1,0.2872,0.3075,0.4053,0.7263,wc2026,,,,,,,,
2026-06-14,CIV,ECU,USA,1,0,1789.9,1980.5,0.131,0.2616,0.6074,1.1925,wc2026,,,,,,,,
2026-06-14,DEU,CUW,USA,7,1,1925.9,1614.6,0.7349,0.1692,0.0958,0.1081,wc2026,,,,,,,,
2026-06-15,IRN,NZL,USA,2,2,1885.8,1706.5,0.5378,0.2862,0.176,0.8297,wc2026,,,,,,,,
2026-06-15,BEL,EGY,USA,1,1,1860.4,1808.7,0.3656,0.3195,0.3149,0.6959,wc2026,,,,,,,,
2026-06-15,SAU,URY,USA,1,1,1680.5,1934.0,0.0824,0.2182,0.6994,1.1072,wc2026,,,,,,,,
2026-06-15,ESP,CPV,USA,0,0,2157.0,1675.5,0.8697,0.1062,0.0241,1.5558,wc2026,,,,,,,,
2026-06-16,FRA,SEN,USA,3,1,2075.4,1905.1,0.6303,0.2594,0.1102,0.2161,wc2026,,,,,,,,
2026-06-16,IRQ,NOR,USA,1,4,1749.3,1903.4,0.1176,0.264,0.6184,0.2291,wc2026,,,,,,,,
2026-06-16,AUT,JOR,USA,3,1,1819.3,1780.8,0.4807,0.3055,0.2137,0.4087,wc2026,,,,,,,,
2026-06-16,ARG,DZA,USA,3,0,2136.8,1852.2,0.7238,0.1963,0.0799,0.1212,wc2026,,,,,,,,
2026-06-17,PRT,COD,USA,1,1,1972.4,1764.9,0.5603,0.2784,0.1613,0.8607,wc2026,,,,,,,,
2026-06-17,UZB,COL,MEX,1,3,1816.5,2012.9,0.0978,0.2533,0.6489,0.197,wc2026,,,,,,,,
2026-06-17,GHA,PAN,CAN,1,0,1612.1,1834.0,0.1604,0.2913,0.5484,1.0905,wc2026,,,,,,,,
2026-06-17,ENG,HRV,USA,4,2,2016.4,1922.6,0.5135,0.2986,0.1878,0.3611,wc2026,,,,,,,,
2026-06-18,CZE,ZAF,USA,1,1,1698.3,1640.3,0.3564,0.3515,0.2921,0.6329,wc2026,,,,,,,,
2026-06-18,MEX,KOR,MEX,1,0,1955.6,1889.1,0.519,0.2777,0.2033,0.3498,wc2026,,,,,,,,
2026-06-18,CHE,BIH,USA,4,1,1868.1,1595.0,0.6889,0.2148,0.0963,0.1522,wc2026,,,,,,,,
2026-06-18,CAN,QAT,CAN,6,0,1867.1,1595.8,0.9008,0.077,0.0222,0.0163,wc2026,,,,,,,,
2026-06-19,SCO,MAR,USA,0,1,1786.7,1974.4,0.1058,0.273,0.6212,0.2292,wc2026,,,,,,,,
2026-06-19,BRA,HTI,USA,3,0,2024.4,1678.7,0.8688,0.1005,0.0307,0.0283,wc2026,,,,,,,,
2026-06-19,USA,AUS,USA,2,0,1855.4,1933.9,0.3389,0.2945,0.3665,0.6581,wc2026,,,,,,,,
2026-06-19,TUR,PRY,USA,0,1,1845.5,1824.2,0.3391,0.3293,0.3316,0.6702,wc2026,,,,,,,,
2026-06-20,DEU,CIV,CAN,2,1,1944.1,1834.9,0.4254,0.2785,0.2961,0.4954,wc2026,,,,,,,,
2026-06-20,ECU,CUW,USA,0,0,1935.5,1596.4,0.8128,0.1409,0.0463,1.4008,wc2026,,,,,,,,
2026-06-20,NLD,SWE,USA,5,1,1954.2,1755.8,0.5785,0.252,0.1695,0.2699,wc2026,,,,,,,,
2026-06-20,TUN,JPN,MEX,0,4,1673.9,1974.0,0.0839,0.2288,0.6872,0.1572,wc2026,,,,,,,,
2026-06-21,URY,CPV,USA,2,2,1915.3,1702.0,0.5983,0.2747,0.127,0.9002,wc2026,,,,,,,,
2026-06-21,BEL,IRN,USA,0,0,1856.0,1871.6,0.338,0.3214,0.3405,0.6907,wc2026,,,,,,,,
